aquila	/ˈaːkwila/	ipa	eagle
gratis	/ˈɡratis/	ipa	gratis, free
gratis	/ˈɡratis/	ipa	free
abada	/aˈba.da/	ipa	Alternative form of bada (“rhinoceros")
abaca	/ˈa.ba.ka/	ipa	Alternative form of abacà
abba	/ˈab.ba/	ipa	abba
fa	[ˈfa]	ipa	ago
fa	[ˈfa]	ipa	fa (musical note)
fa	[ˈfa]	ipa	third-person singular indicative present of fare
abate	/aˈba.te/	ipa	abbot
A	/a/	ipa	phoneme|name of letter	The first letter of the Italian alphabet, called a and written in the Latin script.
die	/ˈdi.e/	ipa	Obsolete form of dì.
die	[ˈd̪iːe]	ipa	Obsolete form of dì.
parole	/paˈrɔ.le/	ipa	plural of parola (“words")
in	/ˈin/	ipa	in
in	[ˈin̺]	ipa	in
seme	[ˈseme]	ipa	seed, pip
seme	/ˈseme/	ipa	seed, pip
seme	séme	enpr	seed, pip
te	/te/	ipa	standard	you
te	/tɛ/	ipa	Northern Italy	you
te	/te/	ipa	standard	Alternative form of ti
te	/tɛ/	ipa	Northern Italy	Alternative form of ti
o	/ɔ/	ipa	The name of the Latin-script letter O.
o	/o/	ipa	The name of the Latin-script letter O.
o	/ɔ/	ipa	or
o	/o/	ipa	or
o	/ɔ/	ipa	Misspelling of ho.
o	/o/	ipa	Misspelling of ho.
i	/i/	ipa	the
i	/i/	ipa	The name of the Latin-script letter I.; i
zero	/ˈd͡zɛ.ro/	ipa	zero
zero	[ˈd̪͡z̪ɛːr̺o]	ipa	zero
zero	/ˈd͡zɛ.ro/	ipa	zero
zero	[ˈd̪͡z̪ɛːr̺o]	ipa	zero
zero	/ˈd͡zɛ.ro/	ipa	zero
zero	[ˈd̪͡z̪ɛːr̺o]	ipa	zero
sabato	/ˈsabato/	ipa	Saturday
sabato	[ˈsäː.bä.t̪o]	ipa	Saturday
are	/ˈa.re/	ipa	Archaic form of aere.
are	[ˈäːr̺e̞]	ipa	Archaic form of aere.
are	/ˈa.re/	ipa	plural of ara
are	[ˈäːr̺e̞]	ipa	plural of ara
centavo	/t͡ʃenˈta.vo/	ipa	centavo
tago	/ˈta.ɡo/	ipa	The highest magistrate in ancient Thessaly.
can	/kan/	ipa	Obsolete spelling of khan
can	[kän̺]	ipa	Obsolete spelling of khan
can	/kan/	ipa	Apocopic form of cane; dog
can	[kän̺]	ipa	Apocopic form of cane; dog
libero	/ˈlibero/	ipa	free (not imprisoned or enslaved)
libero	/ˈlibero/	ipa	first-person singular present of liberare
libero	/ˈlibero/	ipa	sweeper
andante	/anˈdan.te/	ipa	going, walking
andante	/anˈdan.te/	ipa	andante
andante	/anˈdan.te/	ipa	present participle of andare
tao	/ˈta.o/	ipa	Tao
tao	[ˈt̪äːo]	ipa	Tao
aria	/ˈa.rja/	ipa	air
aria	[ˈäːr̺jä]	ipa	air
rape	/ˈrape/	ipa	plural of rapa
rape	[ˈraː.pe]	ipa	plural of rapa
guerra	/ˈɡwɛr.ra/	ipa	war, warfare
guerra	[ˈɡwɛr̺ːä]	ipa	war, warfare
relegate	/re.leˈɡa.te/	ipa	second-person plural present indicative of relegare
flute	/flut/	ipa	flute (type of glass)
euro	/ˈɛu̯.ro/	ipa	euro (currency)
euro	[ˈɛu̯r̺o]	ipa	euro (currency)
euro	/ˈɛu̯.ro/	ipa	Synonym of scirocco: Eurus (southwest wind)
euro	[ˈɛu̯r̺o]	ipa	Synonym of scirocco: Eurus (southwest wind)
Algeria	/al.d͡ʒeˈri.a/	ipa	Algeria (a country in Africa)
Algeria	[äl̺ʲd͡ʒe̞ˈr̺iːä]	ipa	Algeria (a country in Africa)
Austria	/ˈaustrja/	ipa	Austria (a country in Europe)
acacia	/aˈka.t͡ʃa/	ipa	acacia (shrub or tree of the tribe Acacieae)
mobile	/ˈmɔ.bi.le/	ipa	movable, mobile
mobile	/ˈmɔ.bi.le/	ipa	piece of furniture (item of furniture)
meeting	/ˈmi.tinɡ/	ipa	meeting (gathering of people for a purpose)
meeting	[ˈmiːt̪iŋɡ]	ipa	meeting (gathering of people for a purpose)
ci	/t͡ʃi/	ipa	The name of the Latin-script letter C.; cee
ci	/t͡ʃi/	ipa	us
ci	/t͡ʃi/	ipa	to there, here, there
ci	/t͡ʃi/	ipa	The Twi language family.
Argentina	/ar.d͡ʒenˈti.na/	ipa	Argentina (a country in South America)
Bulgaria	/bulɡaˈri.a/	ipa	Bulgaria (a country in Europe)
radio	/ˈradjo/	ipa	radius
radio	/ˈradjo/	ipa	radium
radio	/ˈradjo/	ipa	radio
radio	/ˈradjo/	ipa	first-person singular present indicative of radiare
Indonesia	/indoˈnɛzja/	ipa	Indonesia
Iran	/iˈran/	ipa	Iran
Monaco	/ˈmɔ.na.ko/	ipa	Monaco (a city-state in Western Europe)
Monaco	[ˈmɔː.na.ko]	ipa	Monaco (a city-state in Western Europe)
Monaco	/ˈmɔ.na.ko/	ipa	Munich (the capital and largest city of Bavaria, Germany)
Monaco	[ˈmɔː.na.ko]	ipa	Munich (the capital and largest city of Bavaria, Germany)
Nigeria	/niˈd͡ʒɛr.ja/	ipa	Nigeria (a country in West Africa)
Nepal	/neˈpal/	ipa	Nepal
Romania	/romaˈnia/	ipa	Romania
Slovenia	/zloˈvɛnja/	ipa	Slovenia
Venezuela	/veneddzuˈɛla/	ipa	Venezuela (a country in South America)
Venezuela	/venettsuˈɛla/	ipa	Venezuela (a country in South America)
fero	/ˈfɛ.ro/	ipa	Archaic form of fiero.
fero	[ˈfɛːr̺o]	ipa	Archaic form of fiero.
eo	/ˈe.o/	ipa	Obsolete form of io.
eo	[ˈeːo]	ipa	Obsolete form of io.
UFO	/ˈu.fo/	ipa	UFO
UFO	[ˈuːfo]	ipa	UFO
computer	/komˈpju.ter/	ipa	computer (calculating device)
computer	[komˈpjuːt̪er̺]	ipa	computer (calculating device)
ad	/ad/	ipa	to, at, in (used before a vowel for euphony instead of a)
ace	/ˈat.ʃe/	ipa	a flavour of fruit juice, mainly formed by orange, carrot and lemon juice.
Congo	/ˈkon.ɡo/	ipa	Congo (river)
night	/nai̯t/	ipa	nightclub
night	[n̺ai̯t̪]	ipa	nightclub
baggala	/ˈbaɡ.ɡa.la/	ipa	baggala
baggala	[ˈbäɡɡäl̺ä]	ipa	baggala
Russia	/ˈrus.sja/	ipa	Russia
Russia	[ˈr̺us̪s̪jä]	ipa	Russia
Georgia	/d͡ʒeˈɔr.d͡ʒa/	ipa	Georgia (a country in Europe and Asia)
Georgia	[ˈd͡ʒe̯ɔr̺d͡ʒä]	ipa	Georgia (a country in Europe and Asia)
dilettante	/di.letˈtan.te/	ipa	amateur
dilettante	/di.letˈtan.te/	ipa	amateur
tigre	/ˈtiɡ.re/	ipa	tiger (male or female)
henna	/ˈɛn.na/	ipa	henna (Lawsonia inermis) (plant)
henna	[ˈɛn̺n̺ä]	ipa	henna (Lawsonia inermis) (plant)
Macedonia	/matʃeˈdɔnja/	ipa	Macedonia (all senses)
dare	/ˈda.re/	ipa	to give, to transfer the possession/holding of something to someone else
dare	[ˈd̪äːre]	ipa	to give, to transfer the possession/holding of something to someone else
dare	/ˈda.re/	ipa	debit
dare	[ˈd̪äːre]	ipa	debit
stand	/ˈstɛnd/	ipa	stand, booth, stall, pavilion (at a fair)
secondo	/seˈkon.do/	ipa	second
secondo	[s̪eˈkon̪d̪o]	ipa	second
secondo	/seˈkon.do/	ipa	second (unit of time)
secondo	[s̪eˈkon̪d̪o]	ipa	second (unit of time)
secondo	/seˈkon.do/	ipa	according to, as per, per
secondo	[s̪eˈkon̪d̪o]	ipa	according to, as per, per
baby	/ˈbe.bi/	ipa	child, baby, neonate
baby	/ˈbe.bi/	ipa	For use by young children
tempo	/ˈtɛm.po/	ipa	time
tempo	[ˈt̪ɛmpo]	ipa	time
cane	/ˈka.ne/	ipa	dog, male dog
cane	[ˈkäːn̺e̞]	ipa	dog, male dog
cane	/ˈka.ne/	ipa	freezing, biting
cane	[ˈkäːn̺e̞]	ipa	freezing, biting
cane	/ˈka.ne/	ipa	plural of cana
cane	[ˈkäːn̺e̞]	ipa	plural of cana
cane	/ˈka.ne/	ipa	feminine plural of cano
cane	[ˈkäːn̺e̞]	ipa	feminine plural of cano
weekend	/wiˈkɛnd/	ipa	weekend
weekend	[wiˈkɛn̪d̪]	ipa	weekend
mouse	/mau̯z/	ipa	mouse (for a PC)
mouse	[mäu̯z̪]	ipa	mouse (for a PC)
mouse	/mau̯s/	ipa	mouse (for a PC)
mouse	[mäu̯s̪]	ipa	mouse (for a PC)
cast	/kast/	ipa	cast (group of actors performing together)
cast	[käs̪t̪]	ipa	cast (group of actors performing together)
pi	/pi/	ipa	The name of the Latin-script letter P.; pee
pi	/pi/	ipa	The name of the Greek-script letter Π/π; pi
X	/iks/	ipa	name of letter	The twenty-fourth letter of the Latin alphabet, called ics in Italian.
X	[ks]	ipa	phonetic realization	The twenty-fourth letter of the Latin alphabet, called ics in Italian.
regime	/reˈd͡ʒi.me/	ipa	regime, régime
guanaco	/ɡwaˈna.ko/	ipa	guanaco (Lama guanicoe)
alpaca	/alˈpa.ka/	ipa	alpaca (Vicugna pacos)
alpaca	/ˈal.pa.ka/	ipa	alpaca (Vicugna pacos)
abandono	/a.banˈdo.no/	ipa	Obsolete form of abbandono.
bongo	/ˈbɔn.ɡo/	ipa	bongo (Tragelaphus eurycerus)
bongo	/ˈbɔn.ɡo/	ipa	bongo (Afro-Cuban percussion instrument)
el	/el/	ipa	Apocopic form of ello
el	[el̺]	ipa	Apocopic form of ello
zebra	/ˈd͡zɛb.ra/	ipa	zebra
lama	/ˈla.ma/	ipa	blade (of a razor or sword)
lama	[ˈl̺äːmä]	ipa	blade (of a razor or sword)
lama	/ˈla.ma/	ipa	lama (religious person)
lama	[ˈl̺äːmä]	ipa	lama (religious person)
lama	/ˈla.ma/	ipa	llama
lama	[ˈl̺äːmä]	ipa	llama
lama	/ˈla.ma/	ipa	bog, fen
lama	[ˈl̺äːmä]	ipa	bog, fen
boy	/ˈbɔ.i/	ipa	a male ballet dancer
copula	/ˈkɔ.pu.la/	ipa	copula
copula	[ˈkɔːpul̺ä]	ipa	copula
copula	/ˈkɔ.pu.la/	ipa	third-person singular present indicative
copula	[ˈkɔːpul̺ä]	ipa	third-person singular present indicative
kiwi	/ˈki.wi/	ipa	kiwi fruit
qua	/kwa/	ipa	here
abaco	/ˈa.ba.ko/	ipa	abacus (calculating frame)
abaco	[ˈäːbäko̞]	ipa	abacus (calculating frame)
non	[non]	ipa	not
men	/ˈmen/	ipa	Apocopic form of meno
men	/ˈmen/	ipa	Contraction of me ne.
remote	[reˈmɔː.t̪e]	ipa	feminine plural of remoto
remote	/reˈmɔte/	ipa	feminine plural of remoto
male	[ˈmaː.le]	ipa	badly, wrongly
male	/ˈmale/	ipa	badly, wrongly
male	[ˈmaː.le]	ipa	evil, harm
male	/ˈmale/	ipa	evil, harm
male	[ˈmaː.le]	ipa	feminine plural of malo (“bad")
male	/ˈmale/	ipa	feminine plural of malo (“bad")
finale	/fiˈna.le/	ipa	final, ending
finale	[fiˈnäːle]	ipa	final, ending
finale	/fiˈna.le/	ipa	end, ending, conclusion
finale	[fiˈnäːle]	ipa	end, ending, conclusion
finale	/fiˈna.le/	ipa	final, finals
finale	[fiˈnäːle]	ipa	final, finals
hobby	/ˈɔb.bi/	ipa	hobby (activity)
carne	/ˈkar.ne/	ipa	meat, flesh
carne	[ˈkär̺n̺e̞]	ipa	meat, flesh
salsa	/ˈsal.sa/	ipa	sauce
Abdera	/ˈab.de.ra/	ipa	Abdera (an ancient city in Thrace, in modern Greece)
fortune	[forˈt̪uː.ne]	ipa	plural of fortuna
ai	/ˈa.i/	ipa	contraction of a i; to the, at the
al	/al/	ipa	contraction of a il; to the, at the
al	/al/	ipa	with (an ingredient)
ba	/ba/	ipa	bah!
bel	/ˈbɛl/	ipa	preconsonantal masculine singular form of bello
grazie	/ˈɡrat.t͡sje/	ipa	thank you, thanks!
grazie	/ˈɡrat.t͡sje/	ipa	thanks, thank-you (an expression of gratitude)
grazie	/ˈɡrat.t͡sje/	ipa	plural of grazia
